"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Sep 25 01:08:01 GMT 2023","Mon Sep 25 01:08:01 GMT 2023","419","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","TD 022 Доставка товара весом до 5000кг. в синей зоне",""
"skipped","Mon Sep 25 01:07:49 GMT 2023","Mon Sep 25 01:07:50 GMT 2023","445","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","test_positive_delivery_green_zone_smoke[TD 014-products/shtukaturka-gipsovaya-aksolit-m50-30-kg-mashinnogo-naneseniya-666-20000-5400-15600-17490-https://sandboxtest.stroyrem-nn.ru/]",""
"passed","Mon Sep 25 01:16:11 GMT 2023","Mon Sep 25 01:16:20 GMT 2023","9734","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_discount_for_unauthorized_customer_purchase_amount_50_to_3499rub_smoke",""
"passed","Mon Sep 25 01:05:10 GMT 2023","Mon Sep 25 01:05:12 GMT 2023","2618","tests.catalog","test_catalog_page","TestCatalogPage","","","002_positive_last_link_of_catalog_smoke",""
"broken","Mon Sep 25 01:07:30 GMT 2023","Mon Sep 25 01:07:31 GMT 2023","521","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","test_positive_delivery_green_zone_smoke[TD 004-products/shtukaturka-gipsovaya-aksolit-m50-30-kg-mashinnogo-naneseniya-13-400-450-1590-2190-https://sandboxtest.stroyrem-nn.ru/]",""
"broken","Mon Sep 25 01:08:05 GMT 2023","Mon Sep 25 01:08:06 GMT 2023","432","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","TD 025 Доставка товара весом до 10000кг. в синей зоне",""
"passed","Mon Sep 25 01:01:41 GMT 2023","Mon Sep 25 01:01:46 GMT 2023","5308","tests","test_main_page","TestMainPage","","","TC 003 - Функционал кнопоки 'Корзина' в шапке главной страницы",""
"broken","Mon Sep 25 01:04:39 GMT 2023","Mon Sep 25 01:04:39 GMT 2023","16","tests","test_main_page","TestMainPage","","","TC 018 - Проверка функциональности ссылки 'Акции'",""
"skipped","Mon Sep 25 01:11:06 GMT 2023","Mon Sep 25 01:11:17 GMT 2023","10298","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_5000_7499rub_smoke",""
"passed","Mon Sep 25 01:10:08 GMT 2023","Mon Sep 25 01:10:23 GMT 2023","15172","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_3500_4999rub_smoke",""
"passed","Mon Sep 25 01:16:44 GMT 2023","Mon Sep 25 01:16:54 GMT 2023","9698","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_discount_for_unauthorized_customer_purchase_amount_7500_to_9999rub_smoke",""
"passed","Mon Sep 25 01:06:32 GMT 2023","Mon Sep 25 01:06:37 GMT 2023","4213","tests.catalog","test_catalog_page","TestCatalogPage","","","007_positive_catalog_first_link_smoke",""
