"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 01 01:21:05 GMT 2024","Fri Mar 01 01:21:20 GMT 2024","15101","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_discount_for_unauthorized_customer_purchase_amount_50_to_3499rub_smoke",""
"skipped","Fri Mar 01 01:12:50 GMT 2024","Fri Mar 01 01:12:50 GMT 2024","297","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","test_positive_delivery_green_zone_smoke[TD 014-products/shtukaturka-gipsovaya-aksolit-m50-30-kg-mashinnogo-naneseniya-666-20000-5400-15600-17490-https://sandboxtest.stroyrem-nn.ru/]",""
"broken","Fri Mar 01 01:06:47 GMT 2024","Fri Mar 01 01:06:47 GMT 2024","13","tests","test_main_page","TestMainPage","","","TC 004 - Функционал блока 'Советы от профессионалов ремонта'",""
"broken","Fri Mar 01 01:08:18 GMT 2024","Fri Mar 01 01:08:18 GMT 2024","14","tests","test_main_page","TestMainPage","","","TC 013 - Проверка функциональности ссылки 'Новинки'",""
"passed","Fri Mar 01 01:07:46 GMT 2024","Fri Mar 01 01:07:46 GMT 2024","56","tests","test_main_page","TestMainPage","","","TC 010 - Проверка функциональности ссылки 'email'",""
"passed","Fri Mar 01 01:20:54 GMT 2024","Fri Mar 01 01:21:03 GMT 2024","9644","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_discount_for_unauthorized_customer_purchase_amount_50_to_3499rub_smoke",""
"broken","Fri Mar 01 01:12:43 GMT 2024","Fri Mar 01 01:12:44 GMT 2024","424","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","test_positive_delivery_green_zone_smoke[TD 009-products/shtukaturka-gipsovaya-aksolit-m50-30-kg-mashinnogo-naneseniya-166-5000-2500-4990-5480-https://sandboxtest.stroyrem-nn.ru/]",""
"passed","Fri Mar 01 01:08:33 GMT 2024","Fri Mar 01 01:08:33 GMT 2024","44","tests","test_main_page","TestMainPage","","","TC 015 - Проверка функциональности ссылки 'telephone number'",""
"passed","Fri Mar 01 01:14:30 GMT 2024","Fri Mar 01 01:14:45 GMT 2024","15103","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_15000rub_and_above_smoke",""
"skipped","Fri Mar 01 01:12:52 GMT 2024","Fri Mar 01 01:12:52 GMT 2024","296","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","TD 016 Доставка товара весом до 300кг. в синей зоне",""
"broken","Fri Mar 01 01:06:31 GMT 2024","Fri Mar 01 01:06:31 GMT 2024","11","tests","test_main_page","TestMainPage","","","TC 003 - Функционал кнопоки 'Корзина' в шапке главной страницы",""
"skipped","Fri Mar 01 01:20:31 GMT 2024","Fri Mar 01 01:20:46 GMT 2024","15110","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_discount_for_unauthorized_customer_purchase_amount_5000_to_7499rub_smoke",""
"broken","Fri Mar 01 01:07:57 GMT 2024","Fri Mar 01 01:07:57 GMT 2024","12","tests","test_main_page","TestMainPage","","","TC 011 - Проверка функциональности ссылки 'Подъем на этаж'",""
"skipped","Fri Mar 01 01:13:06 GMT 2024","Fri Mar 01 01:13:06 GMT 2024","310","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","TD 027 Доставка товара весом до 20000кг. в синей зоне",""
"passed","Fri Mar 01 01:22:17 GMT 2024","Fri Mar 01 01:22:18 GMT 2024","990","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Переход с окна авторизации на страницу восстановления пароля",""
"broken","Fri Mar 01 01:13:02 GMT 2024","Fri Mar 01 01:13:03 GMT 2024","411","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","TD 024 Доставка товара весом до 9000кг. в синей зоне",""
"failed","Fri Mar 01 01:19:49 GMT 2024","Fri Mar 01 01:19:58 GMT 2024","9631","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_discount_for_unauthorized_customer_purchase_amount_3500_to_4999rub_smoke",""
"passed","Fri Mar 01 01:22:01 GMT 2024","Fri Mar 01 01:22:02 GMT 2024","1326","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Переход со окна авторизации на главную страницу по клику на логотипе Стройрем",""
"passed","Fri Mar 01 01:22:09 GMT 2024","Fri Mar 01 01:22:10 GMT 2024","167","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Проверка открытия тултипа с кнопками 'Войти' и 'Регистрация' и открытия окна авторизации",""
"skipped","Fri Mar 01 01:08:53 GMT 2024","Fri Mar 01 01:08:53 GMT 2024","14","tests","test_main_page","TestMainPage","","","TC 017 - Проверка функциональности ссылки 'Отзывы'",""
"passed","Fri Mar 01 01:10:30 GMT 2024","Fri Mar 01 01:10:30 GMT 2024","140","tests.catalog","test_catalog_page","TestCatalogPage","","","003_positive_pic_stroymateriali_smoke(catalog)",""
"broken","Fri Mar 01 01:06:12 GMT 2024","Fri Mar 01 01:06:30 GMT 2024","17089","tests","test_main_page","TestMainPage","","","TC 003 - Функционал кнопоки 'Корзина' в шапке главной страницы",""
"passed","Fri Mar 01 01:13:47 GMT 2024","Fri Mar 01 01:13:58 GMT 2024","10158","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_10000_14999rub_smoke",""
"broken","Fri Mar 01 01:07:02 GMT 2024","Fri Mar 01 01:07:02 GMT 2024","14","tests","test_main_page","TestMainPage","","","TC 005 - Функционал блока 'Советы от профессионалов ремонта'",""
"passed","Fri Mar 01 01:18:12 GMT 2024","Fri Mar 01 01:18:19 GMT 2024","7729","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_there_is_no_discount_for_unauthorized_customer_red_prices_smoke",""
"broken","Fri Mar 01 01:12:41 GMT 2024","Fri Mar 01 01:12:41 GMT 2024","299","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","test_positive_delivery_green_zone_smoke[TD 007-products/shtukaturka-gipsovaya-aksolit-m50-30-kg-mashinnogo-naneseniya-66-2000-1300-2490-2980-https://sandboxtest.stroyrem-nn.ru/]",""
"passed","Fri Mar 01 01:13:13 GMT 2024","Fri Mar 01 01:13:23 GMT 2024","10100","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_0-49rub_smoke",""
