"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 16 01:08:10 GMT 2024","Sat Mar 16 01:08:25 GMT 2024","15073","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_15000rub_and_above_smoke",""
"passed","Sat Mar 16 01:08:44 GMT 2024","Sat Mar 16 01:08:59 GMT 2024","15077","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_3500_4999rub_smoke",""
"broken","Sat Mar 16 00:59:49 GMT 2024","Sat Mar 16 01:00:06 GMT 2024","17025","tests","test_main_page","TestMainPage","","","TC 003 - Функционал кнопоки 'Корзина' в шапке главной страницы",""
"passed","Sat Mar 16 01:09:39 GMT 2024","Sat Mar 16 01:09:50 GMT 2024","10963","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_5000_7499rub_smoke",""
"passed","Sat Mar 16 01:01:23 GMT 2024","Sat Mar 16 01:01:23 GMT 2024","52","tests","test_main_page","TestMainPage","","","TC 010 - Проверка функциональности ссылки 'email'",""
"passed","Sat Mar 16 01:17:59 GMT 2024","Sat Mar 16 01:18:03 GMT 2024","4196","tests.test_ym","test_ym","TestYaMetric","","","ym_is_present_smoke",""
"broken","Sat Mar 16 01:13:42 GMT 2024","Sat Mar 16 01:13:57 GMT 2024","15072","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_discount_for_unauthorized_customer_purchase_amount_3500_to_4999rub_smoke",""
"broken","Sat Mar 16 01:00:22 GMT 2024","Sat Mar 16 01:00:22 GMT 2024","13","tests","test_main_page","TestMainPage","","","TC 004 - Функционал блока 'Советы от профессионалов ремонта'",""
"broken","Sat Mar 16 01:00:57 GMT 2024","Sat Mar 16 01:00:57 GMT 2024","14","tests","test_main_page","TestMainPage","","","TC 007 - Проверка функциональности ссылки 'Строительные советы'",""
"broken","Sat Mar 16 01:01:55 GMT 2024","Sat Mar 16 01:01:55 GMT 2024","14","tests","test_main_page","TestMainPage","","","TC 013 - Проверка функциональности ссылки 'Новинки'",""
"passed","Sat Mar 16 00:59:18 GMT 2024","Sat Mar 16 00:59:25 GMT 2024","6643","tests","test_main_page","TestMainPage","","","TC 002 - проверка title на главной странице",""
"broken","Sat Mar 16 01:06:21 GMT 2024","Sat Mar 16 01:06:22 GMT 2024","557","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","test_positive_delivery_green_zone_smoke[TD 009-products/shtukaturka-gipsovaya-aksolit-m50-30-kg-mashinnogo-naneseniya-166-5000-2500-4990-5480-https://sandboxtest.stroyrem-nn.ru/]",""
"passed","Sat Mar 16 01:16:03 GMT 2024","Sat Mar 16 01:16:03 GMT 2024","161","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Проверка открытия тултипа с кнопками 'Войти' и 'Регистрация' и открытия окна авторизации",""
"passed","Sat Mar 16 01:10:58 GMT 2024","Sat Mar 16 01:11:13 GMT 2024","15075","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_7500_9999rub_smoke",""
"broken","Sat Mar 16 01:02:21 GMT 2024","Sat Mar 16 01:02:21 GMT 2024","14","tests","test_main_page","TestMainPage","","","TC 016 - Проверка функциональности ссылки 'Прайс'",""
"passed","Sat Mar 16 01:09:18 GMT 2024","Sat Mar 16 01:09:33 GMT 2024","15075","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_50_3499rub_smoke",""
"passed","Sat Mar 16 01:07:39 GMT 2024","Sat Mar 16 01:07:54 GMT 2024","15074","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_10000_14999rub_smoke",""
"skipped","Sat Mar 16 01:00:46 GMT 2024","Sat Mar 16 01:00:46 GMT 2024","12","tests","test_main_page","TestMainPage","","","TC 006 - Проверка функциональности ссылки 'Обратный звонок'",""
"skipped","Sat Mar 16 01:02:31 GMT 2024","Sat Mar 16 01:02:31 GMT 2024","13","tests","test_main_page","TestMainPage","","","TC 017 - Проверка функциональности ссылки 'Отзывы'",""
"skipped","Sat Mar 16 01:06:43 GMT 2024","Sat Mar 16 01:06:44 GMT 2024","291","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","TD 026 Доставка товара весом до 11000кг. в синей зоне",""
"skipped","Sat Mar 16 01:14:14 GMT 2024","Sat Mar 16 01:14:29 GMT 2024","15075","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_discount_for_unauthorized_customer_purchase_amount_5000_to_7499rub_smoke",""
"broken","Sat Mar 16 01:06:38 GMT 2024","Sat Mar 16 01:06:39 GMT 2024","420","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","TD 022 Доставка товара весом до 5000кг. в синей зоне",""
"broken","Sat Mar 16 01:05:54 GMT 2024","Sat Mar 16 01:06:10 GMT 2024","15515","tests.catalog","test_catalog_page","TestCatalogPage","","","008_positive_cost_plaster_mixtures_smoke",""
"broken","Sat Mar 16 01:01:33 GMT 2024","Sat Mar 16 01:01:33 GMT 2024","13","tests","test_main_page","TestMainPage","","","TC 011 - Проверка функциональности ссылки 'Подъем на этаж'",""
